input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438154489.197	379044	0	0	0	Shift_L	Shift_L	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	0	0	0.92
1438154489.571	379044	0	1	374	M	M	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	374	0	0.92
1438154489.789	379044	0	2	218	i	i	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	592	0	0.92
1438154489.977	379044	0	3	187	t	t	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	779	0	0.92
1438154490.32	379044	0	4	343	ä	adiaeresis	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	1122	0	0.92
1438154490.663	379044	0	5	344	_	space	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	1466	0	0.92
1438154491.193	379044	0	6	530	s	s	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	1996	0	0.92
1438154491.474	379044	0	7	280	i	i	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	2276	0	0.92
1438154491.693	379044	0	8	220	n	n	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	2496	0	0.92
1438154492.005	379044	0	9	312	ä	adiaeresis	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	2808	0	0.92
1438154492.317	379044	0	10	311	_	space	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	3119	0	0.92
1438154494.563	379044	0	11	2246	z	z	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	5365	0	0.92
1438154495	379044	0	12	437	f	f	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	5802	0	0.92
1438154496.092	379044	0	13	1092	c	c	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	6894	0	0.92
1438154496.778	379044	0	14	687	s	s	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	7581	0	0.92
1438154497.09	379044	0	15	311	p	p	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	7892	0	0.92
1438154497.933	379044	0	16	844	x	x	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	8736	0	0.92
1438154498.619	379044	0	17	685	_	space	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	9421	0	0.92
1438154499.025	379044	0	18	407	k	k	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	9828	0	0.92
1438154499.243	379044	0	19	218	u	u	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	10046	0	0.92
1438154499.399	379044	0	20	155	u	u	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	10201	0	0.92
1438154499.68	379044	0	21	282	l	l	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	10483	0	0.92
1438154499.867	379044	0	22	187	e	e	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	10670	0	0.92
1438154500.085	379044	0	23	218	t	t	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	10888	0	0.92
1438154500.928	379044	0	24	842	Shift_L	Shift_L	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	11730	0	0.92
1438154501.24	379044	0	25	312	?	question	Mitä sinä zfcspx kuulet?	 22.92	 439.86	Mitä sinä zfcspx kuulet?	Mix	12042	0	0.92
1438154506.949	379044	1	0	0	Shift_L	Shift_L	Se olisi qjrpgt hienoa.	 27.38	 479.56	Se olisi qjrpgt hienoa.	Mix	0	0	0.96
1438154507.449	379044	1	1	500	S	S	Se olisi qjrpgt hienoa.	 27.38	 479.56	Se olisi qjrpgt hienoa.	Mix	500	0	0.96
1438154507.667	379044	1	2	218	e	e	Se olisi qjrpgt hienoa.	 27.38	 479.56	Se olisi qjrpgt hienoa.	Mix	718	0	0.96
1438154507.885	379044	1	3	218	_	space	Se olisi qjrpgt hienoa.	 27.38	 479.56	Se olisi qjrpgt hienoa.	Mix	936	0	0.96
